date,media_source,campaign_id,campaign_name,country,impressions,clicks,installs,cost,ad_revenue,iap_revenue,total_revenue,net_profit,roas_percent,cpi,arpu,ctr_percent
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,O1,4240,195,0,3.01,0.0,0.0,0.0,-3.01,0.0,,,4.6
2026-07-26,googleadwords_int,611892113,mock_campaign_9bfd19ea,PE,4464,186,96,2.77,1.88,0.0,1.88,-0.88,68.05,0.03,0.02,4.17
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,LK,3869,144,93,1.68,1.19,0.0,1.19,-0.49,70.89,0.02,0.01,3.72
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,RO,2218,84,48,1.61,2.67,0.0,2.67,1.06,166.13,0.03,0.06,3.79
2026-07-26,googleadwords_int,529859974,mock_campaign_d2ea5396,O1,2958,113,0,1.42,0.0,0.0,0.0,-1.42,0.0,,,3.82
2026-07-26,googleadwords_int,810543724,mock_campaign_c492b014,CH,435,9,2,1.3,0.43,0.0,0.43,-0.87,32.97,0.65,0.21,2.07
2026-07-26,googleadwords_int,369804654,mock_campaign_92e554bf,ES,1829,37,17,0.84,1.3,0.0,1.3,0.46,155.34,0.05,0.08,2.02
2026-07-26,googleadwords_int,585166272,mock_campaign_60587c25,AT,405,6,3,0.79,0.22,0.0,0.22,-0.57,27.58,0.26,0.07,1.48
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,UG,493,34,22,0.78,0.24,0.0,0.24,-0.54,30.34,0.04,0.01,6.9
2026-07-26,googleadwords_int,434877610,mock_campaign_0dfbbe6f,CL,1655,43,20,0.75,0.51,0.0,0.51,-0.24,68.35,0.04,0.03,2.6
2026-07-26,googleadwords_int,243641668,mock_campaign_1e8723bd,O1,2002,58,0,0.7,0.0,0.0,0.0,-0.7,0.0,,,2.9
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,TH,636,25,9,0.63,0.69,0.0,0.69,0.06,109.57,0.07,0.08,3.93
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,O1,783,46,0,0.6,0.0,0.0,0.0,-0.6,0.0,,,5.87
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,FR,838,38,4,0.5,0.41,0.0,0.41,-0.1,80.72,0.13,0.1,4.53
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,MX,129,9,3,0.45,0.04,0.0,0.04,-0.4,9.98,0.15,0.01,6.98
2026-07-26,googleadwords_int,611892113,mock_campaign_9bfd19ea,O1,845,33,0,0.44,0.0,0.0,0.0,-0.44,0.0,,,3.91
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,O1,926,44,0,0.43,0.0,0.0,0.0,-0.43,0.0,,,4.75
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,TZ,698,48,37,0.41,0.27,0.0,0.27,-0.14,66.26,0.01,0.01,6.88
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,UG,608,25,21,0.38,0.2,0.0,0.2,-0.17,53.7,0.02,0.01,4.11
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,NZ,104,3,1,0.38,0.0,0.0,0.0,-0.38,0.0,0.38,0.0,2.88
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,PE,68,9,10,0.3,0.17,0.0,0.17,-0.13,57.1,0.03,0.02,13.24
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,NO,148,8,0,0.29,0.0,0.0,0.0,-0.29,0.0,,,5.41
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,BW,295,20,13,0.28,0.24,0.0,0.24,-0.04,86.58,0.02,0.02,6.78
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,TZ,652,31,33,0.28,0.38,0.0,0.38,0.09,133.71,0.01,0.01,4.75
2026-07-26,googleadwords_int,280939212,mock_campaign_45884f7b,DE,626,10,1,0.26,0.06,0.0,0.06,-0.2,22.35,0.26,0.06,1.6
2026-07-26,googleadwords_int,900383572,mock_campaign_45368c6d,O1,926,19,0,0.25,0.0,0.0,0.0,-0.25,0.0,,,2.05
2026-07-26,googleadwords_int,742036733,mock_campaign_e0586969,O1,78,4,0,0.25,0.0,0.0,0.0,-0.25,0.0,,,5.13
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,PT,600,15,8,0.25,0.55,0.0,0.55,0.3,222.33,0.03,0.07,2.5
2026-07-26,googleadwords_int,434877610,mock_campaign_0dfbbe6f,O1,353,9,0,0.22,0.0,0.0,0.0,-0.22,0.0,,,2.55
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,FJ,226,17,3,0.2,0.03,0.0,0.03,-0.17,12.96,0.07,0.01,7.52
2026-07-26,googleadwords_int,140410898,mock_campaign_a2e93e84,O1,58,1,0,0.19,0.0,0.0,0.0,-0.19,0.0,,,1.72
2026-07-26,googleadwords_int,464541057,mock_campaign_d8ff83e7,O1,152,2,0,0.18,0.0,0.0,0.0,-0.18,0.0,,,1.32
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,RW,366,16,11,0.15,0.1,0.0,0.1,-0.05,66.66,0.01,0.01,4.37
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,SG,359,8,2,0.15,0.24,0.0,0.24,0.09,162.16,0.08,0.12,2.23
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,JP,224,3,0,0.14,0.0,0.0,0.0,-0.14,0.0,,,1.34
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,O1,177,5,0,0.13,0.0,0.0,0.0,-0.13,0.0,,,2.82
2026-07-26,googleadwords_int,280939212,mock_campaign_45884f7b,BS,92,3,1,0.12,0.08,0.0,0.08,-0.04,64.22,0.12,0.08,3.26
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,JP,88,2,1,0.12,0.39,0.0,0.39,0.27,333.25,0.12,0.39,2.27
2026-07-26,googleadwords_int,810543724,mock_campaign_c492b014,O1,4,1,0,0.12,0.0,0.0,0.0,-0.12,0.0,,,25.0
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,VN,62,4,4,0.12,0.22,0.0,0.22,0.1,190.28,0.03,0.06,6.45
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,EC,51,4,1,0.09,0.01,0.0,0.01,-0.08,9.89,0.09,0.01,7.84
2026-07-26,googleadwords_int,571438578,mock_campaign_756e1c81,IN,701,20,9,0.09,0.02,0.0,0.02,-0.06,28.01,0.01,0.0,2.85
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,EC,46,4,1,0.09,0.0,0.0,0.0,-0.08,3.66,0.09,0.0,8.7
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,KW,341,6,4,0.09,0.19,0.0,0.19,0.1,206.21,0.02,0.05,1.76
2026-07-26,googleadwords_int,280939212,mock_campaign_45884f7b,NZ,180,1,2,0.08,0.92,0.0,0.92,0.84,1133.99,0.04,0.46,0.56
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,TR,170,6,1,0.08,0.0,0.0,0.0,-0.08,0.0,0.08,0.0,3.53
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,SV,38,4,4,0.08,0.06,0.0,0.06,-0.02,70.64,0.02,0.01,10.53
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,LR,65,5,11,0.08,0.2,0.0,0.2,0.12,235.83,0.01,0.02,7.69
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,SE,36,1,0,0.08,0.0,0.0,0.0,-0.08,0.0,,,2.78
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,TT,163,5,3,0.07,0.02,0.0,0.02,-0.05,29.17,0.02,0.01,3.07
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,GT,45,3,6,0.07,0.27,0.0,0.27,0.2,407.28,0.01,0.04,6.67
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,IE,97,3,1,0.07,0.0,0.0,0.0,-0.07,0.0,0.07,0.0,3.09
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,NI,16,3,1,0.06,0.03,0.0,0.03,-0.04,42.52,0.06,0.03,18.75
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,BR,48,2,0,0.06,0.0,0.0,0.0,-0.06,0.0,,,4.17
2026-07-26,googleadwords_int,280939212,mock_campaign_45884f7b,JP,96,2,0,0.06,0.0,0.0,0.0,-0.06,0.0,,,2.08
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,PY,9,2,0,0.06,0.01,0.0,0.01,-0.05,16.52,,,22.22
2026-07-26,googleadwords_int,788967442,mock_campaign_475f8981,CN,44,1,0,0.06,0.0,0.0,0.0,-0.06,0.0,,,2.27
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,MU,138,5,2,0.06,0.02,0.0,0.02,-0.04,34.11,0.03,0.01,3.62
2026-07-26,googleadwords_int,989105150,mock_campaign_58ab9c06,BR,58,4,0,0.04,0.0,0.0,0.0,-0.04,0.0,,,6.9
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,IT,90,2,1,0.04,0.03,0.0,0.03,-0.01,74.04,0.04,0.03,2.22
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,CA,128,3,0,0.04,0.0,0.0,0.0,-0.04,0.0,,,2.34
2026-07-26,googleadwords_int,571438578,mock_campaign_756e1c81,BD,147,20,7,0.04,0.09,0.0,0.09,0.05,231.63,0.01,0.01,13.61
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,JO,50,2,2,0.04,0.03,0.0,0.03,0.0,88.3,0.02,0.02,4.0
2026-07-26,googleadwords_int,369626124,mock_campaign_617ec63b,QA,17,1,0,0.03,0.0,0.0,0.0,-0.03,0.0,,,5.88
2026-07-26,googleadwords_int,432166127,mock_campaign_f8b84857,O1,80,1,0,0.03,0.0,0.0,0.0,-0.03,0.0,,,1.25
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,MD,8,1,0,0.03,0.0,0.0,0.0,-0.03,0.0,,,12.5
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,BS,79,1,0,0.03,0.0,0.0,0.0,-0.03,0.0,,,1.27
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,RS,10,2,1,0.03,0.05,0.0,0.05,0.02,168.18,0.03,0.05,20.0
2026-07-26,googleadwords_int,571438578,mock_campaign_756e1c81,O1,130,7,0,0.02,0.0,0.0,0.0,-0.02,0.0,,,5.38
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,CG,5,2,1,0.02,0.0,0.0,0.0,-0.02,16.09,0.02,0.0,40.0
2026-07-26,googleadwords_int,571438578,mock_campaign_756e1c81,PK,61,3,1,0.02,0.01,0.0,0.01,-0.02,28.14,0.02,0.01,4.92
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,GM,32,3,2,0.02,0.02,0.0,0.02,0.0,86.21,0.01,0.01,9.38
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,PY,13,1,2,0.02,0.02,0.0,0.02,0.0,120.1,0.01,0.01,7.69
2026-07-26,googleadwords_int,369804654,mock_campaign_92e554bf,O1,177,2,0,0.02,0.0,0.0,0.0,-0.02,0.0,,,1.13
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,PL,29,1,0,0.02,0.0,0.0,0.0,-0.02,0.0,,,3.45
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,MK,20,1,1,0.02,0.01,0.0,0.01,-0.01,42.09,0.02,0.01,5.0
2026-07-26,googleadwords_int,590094865,mock_campaign_23f341fc,O1,12,1,0,0.02,0.0,0.0,0.0,-0.02,0.0,,,8.33
2026-07-26,googleadwords_int,590094865,mock_campaign_23f341fc,UG,4,2,1,0.02,0.0,0.0,0.0,-0.02,0.01,0.02,0.0,50.0
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,MZ,22,4,4,0.02,0.0,0.0,0.0,-0.02,0.33,0.01,0.0,18.18
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,KG,17,3,1,0.02,0.0,0.0,0.0,-0.02,0.0,0.02,0.0,17.65
2026-07-26,googleadwords_int,739276167,mock_campaign_1fbdf2e3,O1,60,0,0,0.02,0.0,0.0,0.0,-0.02,0.0,,,0.0
2026-07-26,googleadwords_int,571438578,mock_campaign_756e1c81,EG,24,2,2,0.02,0.16,0.0,0.16,0.15,996.9,0.01,0.08,8.33
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,GE,45,1,3,0.01,0.09,0.0,0.09,0.09,1575.43,0.0,0.03,2.22
2026-07-26,googleadwords_int,660741874,mock_campaign_7e7497dd,QA,182,1,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,0.55
2026-07-26,googleadwords_int,369626124,mock_campaign_617ec63b,IT,4,1,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,25.0
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,BG,5,1,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,20.0
2026-07-26,googleadwords_int,660741874,mock_campaign_7e7497dd,SG,4,1,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,25.0
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,RS,7,1,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,14.29
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,DO,41,0,0,0.01,0.0,0.0,0.0,-0.01,0.0,,,0.0
2026-07-26,googleadwords_int,180761354,mock_campaign_07fb7039,JO,28,2,1,0.01,0.0,0.0,0.0,-0.01,32.93,0.01,0.0,7.14
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,AL,44,1,1,0.01,0.01,0.0,0.01,0.0,103.39,0.01,0.01,2.27
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,GM,69,1,4,0.01,0.04,0.0,0.04,0.04,506.93,0.0,0.01,1.45
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,UZ,24,2,1,0.01,0.04,0.0,0.04,0.04,495.98,0.01,0.04,8.33
2026-07-26,googleadwords_int,788967442,mock_campaign_475f8981,O1,18,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,833789410,,PL,0,0,0,0.0,0.09,0.0,0.09,0.09,,,,
2026-07-26,other,,,OM,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,unknown,,,CO,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,other,,,TN,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,unknown,,,TH,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,AU,0,0,0,0.0,2.76,0.0,2.76,2.76,,,,
2026-07-26,googleadwords_int,833789410,,SZ,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,516932962,mock_campaign_60e17b09,PT,2,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,788967442,mock_campaign_475f8981,AT,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2026-07-26,googleadwords_int,654635500,,ZW,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,833789410,,VN,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,unknown,,,RU,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,,,ID,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,PE,0,0,0,0.0,0.06,0.0,0.06,0.06,,,,
2026-07-26,other,,,ID,0,0,21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,PH,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,other,,,GE,0,0,0,0.0,0.05,0.0,0.05,0.05,,,,
2026-07-26,googleadwords_int,,,LR,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,280939212,mock_campaign_45884f7b,BD,0,0,1,0.0,0.01,0.0,0.01,0.01,,0.0,0.01,
2026-07-26,googleadwords_int,,,EG,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,JM,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,414724209,,MY,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,792104306,,ZM,0,0,0,0.0,0.04,0.0,0.04,0.04,,,,
2026-07-26,other,,,CO,0,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,BI,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,BA,0,0,0,0.0,0.09,0.0,0.09,0.09,,,,
2026-07-26,googleadwords_int,,,BR,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,752330309,,BS,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,161694703,,AO,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,,,AR,0,0,0,0.0,0.04,0.0,0.04,0.04,,,,
2026-07-26,other,,,MY,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,ET,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,,,MX,0,0,0,0.0,0.05,0.0,0.05,0.05,,,,
2026-07-26,googleadwords_int,590094865,mock_campaign_23f341fc,MZ,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,CO,3,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,792104306,,SO,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,unknown,,,PH,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,MN,0,0,16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,,,BR,0,0,0,0.0,0.09,0.0,0.09,0.09,,,,
2026-07-26,other,,,MY,0,0,0,0.0,0.06,0.0,0.06,0.06,,,,
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,O1,15,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,529859974,mock_campaign_d2ea5396,GB,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,822177103,,NP,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,148918961,,KW,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,NG,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,611748075,mock_campaign_628993e1,NO,17,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,232552584,mock_campaign_a5da28b5,US,0,0,1,0.0,0.01,0.0,0.01,0.01,,0.0,0.01,
2026-07-26,other,,,CH,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,258346999,mock_campaign_8ba2a925,BS,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,SK,0,0,1,0.0,0.14,0.0,0.14,0.14,,0.0,0.14,
2026-07-26,googleadwords_int,161694703,,AG,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,833789410,,DZ,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,NP,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,,,US,0,0,0,0.0,0.39,0.0,0.39,0.39,,,,
2026-07-26,unknown,,,MD,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,FR,0,0,0,0.0,0.69,0.0,0.69,0.69,,,,
2026-07-26,googleadwords_int,258346999,mock_campaign_8ba2a925,O1,2,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,other,,,IQ,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,NE,0,0,0,0.0,0.03,0.0,0.03,0.03,,,,
2026-07-26,googleadwords_int,,,PY,0,0,0,0.0,0.0,42.14,42.14,42.14,,,,
2026-07-26,other,,,BY,0,0,0,0.0,0.09,0.0,0.09,0.09,,,,
2026-07-26,other,,,RO,0,0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,RU,0,0,162,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,998337322,,DO,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,369626124,mock_campaign_617ec63b,GE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2026-07-26,googleadwords_int,972671114,mock_campaign_9911559c,LT,12,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,448176306,,CA,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,414724209,,US,0,0,0,0.0,0.78,21.64,22.43,22.43,,,,
2026-07-26,googleadwords_int,833789410,,JM,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,660741874,mock_campaign_7e7497dd,PL,2,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,199581943,,EG,0,0,0,0.0,0.04,0.0,0.04,0.04,,,,
2026-07-26,googleadwords_int,833789410,,AO,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,833789410,,BE,0,0,0,0.0,0.05,0.0,0.05,0.05,,,,
2026-07-26,googleadwords_int,292908581,,US,0,0,0,0.0,0.05,0.0,0.05,0.05,,,,
2026-07-26,googleadwords_int,792104306,,JM,0,0,0,0.0,0.03,0.0,0.03,0.03,,,,
2026-07-26,unknown,,,EC,0,0,0,0.0,0.02,0.0,0.02,0.02,,,,
2026-07-26,other,,,EG,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,585166272,mock_campaign_60587c25,VN,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,998337322,,GT,0,0,0,0.0,0.11,0.0,0.11,0.11,,,,
2026-07-26,other,,,BG,0,0,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,UA,0,0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,BA,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,IN,0,0,0,0.0,0.12,0.0,0.12,0.12,,,,
2026-07-26,googleadwords_int,974591165,mock_campaign_674dbd59,AM,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,other,,,DE,0,0,0,0.0,0.71,0.0,0.71,0.71,,,,
2026-07-26,googleadwords_int,739276167,mock_campaign_1fbdf2e3,IN,0,0,1,0.0,0.27,0.0,0.27,0.27,,0.0,0.27,
2026-07-26,other,,,CU,0,0,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,unknown,,,MU,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,833789410,,AZ,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,unknown,,,IN,0,0,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,369626124,mock_campaign_617ec63b,PL,5,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2026-07-26,googleadwords_int,510225620,mock_campaign_10287894,EG,0,0,1,0.0,0.02,0.0,0.02,0.02,,0.0,0.02,
2026-07-26,googleadwords_int,833789410,,TG,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,other,,,ES,0,0,0,0.0,0.21,0.0,0.21,0.21,,,,
2026-07-26,googleadwords_int,792104306,mock_campaign_6fcee95d,NG,0,0,1,0.0,0.16,0.0,0.16,0.16,,0.0,0.16,
2026-07-26,googleadwords_int,833789410,,BO,0,0,0,0.0,0.02,0.0,0.02,0.02,,,,
2026-07-26,googleadwords_int,833789410,,ZM,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,833789410,,KZ,0,0,0,0.0,0.02,0.0,0.02,0.02,,,,
2026-07-26,other,,,AT,0,0,0,0.0,0.44,0.0,0.44,0.44,,,,
2026-07-26,googleadwords_int,262368493,,MY,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,other,,,EG,0,0,19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,MA,0,0,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,googleadwords_int,,,LS,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,
2026-07-26,googleadwords_int,,,AU,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-07-26,other,,,ZW,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
2026-07-26,googleadwords_int,,,IN,0,0,0,0.0,0.01,0.0,0.01,0.01,,,,
